iter	Passed	Remaining
0	5	5150
1	10	5056
2	14	4913
3	20	5031
4	26	5177
5	30	5085
6	35	4974
7	39	4871
8	43	4769
9	47	4696
10	51	4650
11	56	4616
12	60	4566
13	64	4510
14	68	4486
15	72	4460
16	76	4435
17	81	4433
18	85	4420
19	89	4395
20	93	4377
21	98	4365
22	102	4348
23	106	4325
24	110	4305
25	114	4291
26	118	4275
27	123	4270
28	127	4255
29	131	4244
30	135	4231
31	139	4221
32	143	4218
33	147	4202
34	152	4193
35	156	4183
36	160	4177
37	164	4169
38	168	4156
39	173	4152
40	177	4144
41	181	4136
42	185	4128
43	190	4139
44	194	4136
45	199	4127
46	203	4123
47	207	4120
48	212	4117
49	216	4112
50	220	4108
51	224	4101
52	229	4093
53	233	4090
54	237	4086
55	242	4079
56	246	4071
57	250	4064
58	254	4059
59	258	4052
60	262	4046
61	267	4044
62	271	4039
63	275	4034
64	280	4029
65	284	4026
66	288	4021
67	292	4014
68	297	4008
69	301	4001
70	305	3995
71	309	3989
72	313	3983
73	317	3978
74	322	3972
75	326	3966
76	330	3960
77	334	3954
78	338	3947
79	343	3946
80	347	3940
81	351	3934
82	355	3927
83	359	3924
84	364	3920
85	368	3914
86	372	3908
87	376	3904
88	380	3899
89	385	3893
90	389	3890
91	393	3885
92	397	3879
93	401	3873
94	406	3870
95	410	3863
96	414	3857
97	418	3851
98	422	3846
99	426	3840
100	430	3835
101	435	3831
102	439	3825
103	443	3820
104	447	3815
105	452	3812
106	456	3807
107	460	3802
108	464	3797
109	468	3792
110	472	3786
111	476	3781
112	481	3776
113	485	3771
114	489	3766
115	493	3761
116	497	3757
117	502	3752
118	504	3734
119	508	3730
120	512	3724
121	516	3720
122	521	3716
123	525	3710
124	529	3707
125	533	3701
126	537	3696
127	542	3692
128	546	3688
129	550	3684
130	554	3679
131	558	3674
132	563	3670
133	567	3665
134	571	3660
135	575	3656
136	579	3652
137	584	3648
138	588	3645
139	592	3641
140	596	3636
141	600	3630
142	605	3628
143	609	3623
144	613	3618
145	617	3612
146	621	3608
147	625	3603
148	630	3598
149	634	3594
150	638	3589
151	642	3585
152	646	3580
153	650	3576
154	655	3571
155	659	3566
156	663	3561
157	667	3557
158	671	3552
159	675	3547
160	679	3542
161	684	3539
162	688	3534
163	692	3530
164	696	3526
165	700	3521
166	705	3516
167	709	3512
168	713	3508
169	717	3503
170	721	3499
171	726	3495
172	730	3490
173	734	3486
174	738	3482
175	743	3478
176	747	3474
177	751	3469
178	755	3466
179	759	3461
180	763	3452
181	767	3447
182	771	3443
183	775	3438
184	780	3436
185	784	3431
186	788	3427
187	792	3423
188	796	3418
189	800	3414
190	805	3410
191	809	3405
192	813	3401
193	817	3397
194	822	3394
195	826	3389
196	828	3378
197	832	3373
198	837	3369
199	841	3365
200	845	3361
201	849	3357
202	854	3353
203	858	3348
204	862	3346
205	867	3341
206	871	3337
207	875	3334
208	879	3330
209	884	3326
210	888	3321
211	892	3317
212	896	3313
213	900	3308
214	904	3303
215	909	3299
216	913	3295
217	916	3286
218	920	3281
219	924	3277
220	928	3273
221	932	3268
222	937	3265
223	941	3260
224	945	3256
225	949	3252
226	953	3247
227	957	3243
228	962	3239
229	966	3235
230	970	3231
231	974	3227
232	979	3222
233	983	3218
234	987	3214
235	991	3209
236	995	3205
237	999	3200
238	1003	3196
239	1008	3192
240	1012	3189
241	1016	3184
242	1020	3180
243	1024	3175
244	1029	3171
245	1033	3167
246	1037	3163
247	1042	3160
248	1046	3156
249	1050	3152
250	1054	3147
251	1059	3143
252	1063	3139
253	1067	3135
254	1071	3131
255	1075	3126
256	1080	3122
257	1084	3119
258	1089	3115
259	1093	3111
260	1097	3106
261	1101	3102
262	1105	3098
263	1109	3093
264	1113	3089
265	1118	3086
266	1122	3082
267	1127	3079
268	1131	3075
269	1135	3071
270	1139	3066
271	1144	3062
272	1148	3058
273	1152	3054
274	1156	3050
275	1161	3045
276	1163	3037
277	1167	3032
278	1171	3028
279	1176	3024
280	1180	3020
281	1184	3015
282	1188	3011
283	1192	3007
284	1197	3003
285	1201	2998
286	1205	2994
287	1209	2989
288	1213	2985
289	1217	2981
290	1222	2977
291	1227	2975
292	1231	2970
293	1235	2966
294	1239	2962
295	1243	2957
296	1247	2953
297	1251	2948
298	1255	2944
299	1260	2940
300	1264	2935
301	1268	2931
302	1272	2927
303	1276	2923
304	1281	2919
305	1285	2915
306	1289	2911
307	1294	2907
308	1298	2903
309	1302	2899
310	1306	2894
311	1310	2890
312	1315	2886
313	1319	2882
314	1323	2878
315	1327	2874
316	1331	2869
317	1336	2865
318	1340	2860
319	1344	2856
320	1348	2852
321	1352	2848
322	1357	2844
323	1361	2839
324	1365	2835
325	1369	2831
326	1373	2827
327	1378	2823
328	1382	2818
329	1386	2814
330	1390	2810
331	1394	2806
332	1399	2802
333	1403	2797
334	1407	2793
335	1411	2789
336	1415	2784
337	1419	2780
338	1423	2775
339	1427	2771
340	1431	2767
341	1436	2763
342	1440	2758
343	1444	2754
344	1448	2750
345	1452	2745
346	1457	2741
347	1461	2737
348	1465	2733
349	1469	2728
350	1473	2724
351	1477	2720
352	1481	2715
353	1485	2711
354	1490	2707
355	1494	2703
356	1498	2698
357	1502	2694
358	1506	2690
359	1510	2685
360	1514	2681
361	1518	2677
362	1523	2672
363	1527	2668
364	1531	2664
365	1535	2659
366	1539	2655
367	1543	2651
368	1548	2647
369	1551	2642
370	1556	2638
371	1560	2634
372	1564	2629
373	1568	2625
374	1572	2621
375	1576	2616
376	1580	2612
377	1585	2608
378	1589	2603
379	1593	2599
380	1597	2595
381	1601	2591
382	1606	2587
383	1610	2583
384	1614	2579
385	1618	2574
386	1623	2570
387	1627	2566
388	1631	2562
389	1635	2557
390	1639	2553
391	1643	2549
392	1647	2545
393	1651	2540
394	1655	2536
395	1660	2531
396	1664	2527
397	1668	2523
398	1672	2519
399	1676	2515
400	1680	2510
401	1684	2506
402	1689	2502
403	1693	2498
404	1697	2493
405	1701	2489
406	1705	2485
407	1710	2481
408	1714	2477
409	1718	2472
410	1722	2468
411	1726	2464
412	1730	2459
413	1734	2455
414	1738	2451
415	1742	2446
416	1747	2442
417	1751	2438
418	1755	2433
419	1759	2429
420	1763	2425
421	1767	2421
422	1771	2417
423	1775	2412
424	1780	2408
425	1784	2403
426	1788	2399
427	1792	2395
428	1796	2391
429	1800	2386
430	1804	2382
431	1808	2378
432	1812	2373
433	1817	2370
434	1821	2366
435	1825	2361
436	1829	2357
437	1834	2353
438	1839	2351
439	1844	2347
440	1848	2343
441	1852	2339
442	1857	2335
443	1861	2330
444	1865	2326
445	1870	2322
446	1874	2318
447	1878	2314
448	1882	2310
449	1886	2305
450	1890	2301
451	1895	2297
452	1899	2293
453	1903	2288
454	1907	2284
455	1911	2280
456	1915	2275
457	1919	2272
458	1923	2267
459	1928	2263
460	1932	2259
461	1936	2255
462	1940	2251
463	1945	2247
464	1950	2243
465	1954	2239
466	1959	2236
467	1963	2232
468	1968	2228
469	1973	2224
470	1977	2221
471	1982	2217
472	1987	2214
473	1991	2210
474	1996	2206
475	2001	2203
476	2005	2199
477	2010	2195
478	2015	2191
479	2019	2188
